lat,lon,elevation_m,slope_pct,slope_category
16.629665,76.985666,424.3,0.06,flat
16.629665,76.990371,424.0,0.06,flat
16.629665,76.995075,423.7,0.06,flat
16.629665,76.99978,423.4,0.05,flat
16.629665,77.004484,423.2,0.05,flat
16.629665,77.009189,422.9,0.06,flat
16.629665,77.013893,422.6,0.06,flat
16.629665,77.018597,422.3,0.06,flat
16.629665,77.023302,422.0,0.06,flat
16.629665,77.028006,421.7,0.06,flat
16.629665,77.032711,421.4,0.06,flat
16.629665,77.037415,421.1,0.06,flat
16.629665,77.04212,420.8,0.06,flat
16.629665,77.046824,420.5,0.06,flat
16.629665,77.051529,420.2,0.06,flat
16.629665,77.056233,419.9,0.06,flat
16.629665,77.060938,419.6,0.06,flat
16.629665,77.065642,419.3,0.06,flat
16.629665,77.070346,419.0,0.06,flat
16.629665,77.075051,418.7,0.06,flat
16.629665,77.079755,418.4,0.06,flat
16.629665,77.08446,418.1,0.06,flat
16.629665,77.089164,417.8,0.06,flat
16.629665,77.093869,417.5,0.06,flat
16.629665,77.098573,417.2,0.06,flat
16.629665,77.103278,416.9,0.06,flat
16.629665,77.107982,416.6,0.06,flat
16.629665,77.112687,416.3,0.06,flat
16.629665,77.117391,416.0,0.08,flat
16.629665,77.122096,415.6,0.07,flat
16.629665,77.1268,415.3,0.06,flat
16.629665,77.131504,415.0,0.06,flat
16.629665,77.136209,414.7,0.06,flat
16.629665,77.140913,414.4,0.06,flat
16.629665,77.145618,414.1,0.06,flat
16.629665,77.150322,413.8,0.06,flat
16.629665,77.155027,413.5,0.06,flat
16.629665,77.159731,413.2,0.06,flat
16.629665,77.164436,412.9,0.06,flat
16.629665,77.16914,412.6,0.06,flat
16.629665,77.173845,412.3,0.07,flat
16.629665,77.178549,411.9,0.07,flat
16.629665,77.183254,411.6,0.06,flat
16.629665,77.187958,411.3,0.06,flat
16.629665,77.192662,411.0,0.06,flat
16.629665,77.197367,410.7,0.06,flat
16.629665,77.202071,410.4,0.06,flat
16.629665,77.206776,410.1,0.06,flat
16.629665,77.21148,409.8,0.06,flat
16.629665,77.216185,409.5,0.06,flat
16.629665,77.220889,409.2,0.06,flat
16.629665,77.225594,408.9,0.06,flat
16.629665,77.230298,408.6,0.06,flat
16.629665,77.235003,408.3,0.06,flat
16.629665,77.239707,408.0,0.05,flat
16.629665,77.244411,407.8,0.05,flat
16.629665,77.249116,407.5,0.06,flat
16.629665,77.25382,407.2,0.06,flat
16.629665,77.258525,406.9,0.06,flat
16.629665,77.263229,406.6,0.06,flat
16.629665,77.267934,406.3,0.06,flat
16.634169,76.985666,424.2,0.06,flat
16.634169,76.990371,423.9,0.06,flat
16.634169,76.995075,423.6,0.06,flat
16.634169,76.99978,423.3,0.05,flat
16.634169,77.004484,423.1,0.06,flat
16.634169,77.009189,422.8,0.06,flat
16.634169,77.013893,422.5,0.06,flat
16.634169,77.018597,422.2,0.06,flat
16.634169,77.023302,421.9,0.06,flat
16.634169,77.028006,421.6,0.06,flat
16.634169,77.032711,421.3,0.06,flat
16.634169,77.037415,421.0,0.06,flat
16.634169,77.04212,420.7,0.06,flat
16.634169,77.046824,420.4,0.06,flat
16.634169,77.051529,420.1,0.06,flat
16.634169,77.056233,419.8,0.06,flat
16.634169,77.060938,419.5,0.06,flat
16.634169,77.065642,419.2,0.06,flat
16.634169,77.070346,418.9,0.06,flat
16.634169,77.075051,418.6,0.06,flat
16.634169,77.079755,418.3,0.06,flat
16.634169,77.08446,418.0,0.06,flat
16.634169,77.089164,417.7,0.06,flat
16.634169,77.093869,417.4,0.06,flat
