datetime,precipitation,rain_mm,visibility_m,cloudcover_pct,windspeed_kmh,temperature_c,weather_risk_score
2026-04-07 00:00:00+05:30,1.92,1.92,9194.0,34.0,8.4,26.9,0.0576
2026-04-07 01:00:00+05:30,1.87,1.87,9714.0,49.0,8.5,26.8,0.0561
2026-04-07 02:00:00+05:30,1.91,1.91,9608.0,50.0,7.3,28.7,0.0573
2026-04-07 03:00:00+05:30,0.22,0.22,9358.0,41.0,16.7,29.8,0.0066
2026-04-07 04:00:00+05:30,0.07,0.07,9208.0,38.0,10.2,28.5,0.0021
2026-04-07 05:00:00+05:30,1.16,1.16,10000.0,66.0,12.6,29.1,0.0348
2026-04-07 06:00:00+05:30,1.13,1.13,9655.0,45.0,11.7,26.8,0.0339
2026-04-07 07:00:00+05:30,2.5,2.5,9114.0,52.0,15.7,28.1,0.075
2026-04-07 08:00:00+05:30,0.06,0.06,9942.0,37.0,7.8,27.8,0.0018
2026-04-07 09:00:00+05:30,0.84,0.84,10000.0,27.0,6.6,27.0,0.0252
2026-04-07 10:00:00+05:30,0.06,0.06,8851.0,44.0,13.1,29.2,0.0018
2026-04-07 11:00:00+05:30,0.87,0.87,9121.0,33.0,15.0,26.9,0.0261
2026-04-07 12:00:00+05:30,1.39,1.39,9331.0,52.0,13.7,27.9,0.0417
2026-04-07 13:00:00+05:30,0.31,0.31,10000.0,24.0,8.0,28.8,0.0093
2026-04-07 14:00:00+05:30,0.99,0.99,9994.0,64.0,15.4,28.6,0.0297
2026-04-07 15:00:00+05:30,0.12,0.12,10000.0,39.0,8.3,29.9,0.0036
2026-04-07 16:00:00+05:30,0.07,0.07,9419.0,56.0,9.4,29.9,0.0021
2026-04-07 17:00:00+05:30,0.25,0.25,9402.0,40.0,7.3,30.6,0.0075
2026-04-07 18:00:00+05:30,0.72,0.72,10000.0,26.0,18.5,30.6,0.0216
2026-04-07 19:00:00+05:30,0.33,0.33,9980.0,55.0,15.2,31.1,0.0099
2026-04-07 20:00:00+05:30,1.0,1.0,10000.0,51.0,15.0,30.0,0.03
2026-04-07 21:00:00+05:30,0.18,0.18,9879.0,52.0,18.2,30.4,0.0054
2026-04-07 22:00:00+05:30,1.47,1.47,9919.0,44.0,26.1,30.7,0.0441
2026-04-07 23:00:00+05:30,0.98,0.98,9932.0,50.0,3.5,30.4,0.0294
2026-04-08 00:00:00+05:30,0.52,0.52,10000.0,57.0,8.3,30.0,0.0156
2026-04-08 01:00:00+05:30,0.33,0.33,10000.0,47.0,8.9,30.1,0.0099
2026-04-08 02:00:00+05:30,0.36,0.36,9136.0,36.0,7.7,29.7,0.0108
2026-04-08 03:00:00+05:30,0.06,0.06,8867.0,47.0,6.6,31.0,0.0018
2026-04-08 04:00:00+05:30,0.14,0.14,10000.0,48.0,10.5,30.6,0.0042
2026-04-08 05:00:00+05:30,0.55,0.55,10000.0,61.0,5.9,30.1,0.0165
2026-04-08 06:00:00+05:30,0.31,0.31,9443.0,36.0,13.7,30.2,0.0093
2026-04-08 07:00:00+05:30,1.01,1.01,8918.0,42.0,12.3,29.7,0.0303
2026-04-08 08:00:00+05:30,0.57,0.57,9964.0,55.0,14.4,32.0,0.0171
2026-04-08 09:00:00+05:30,0.19,0.19,10000.0,41.0,14.5,31.1,0.0057
2026-04-08 10:00:00+05:30,0.37,0.37,10000.0,51.0,15.0,30.2,0.0111
2026-04-08 11:00:00+05:30,0.51,0.51,10000.0,41.0,10.1,32.0,0.0153
2026-04-08 12:00:00+05:30,0.28,0.28,9773.0,30.0,22.6,30.7,0.0084
2026-04-08 13:00:00+05:30,0.26,0.26,9515.0,51.0,13.2,29.9,0.0078
