lat,lon,elevation_m,slope_pct,slope_category
16.629665,76.985666,391.0,1.0,flat
16.629665,76.990371,387.0,1.41,flat
16.629665,76.995075,389.0,1.0,flat
16.629665,76.99978,393.0,0.94,flat
16.629665,77.004484,394.0,3.21,moderate
16.629665,77.009189,395.0,2.83,flat
16.629665,77.013893,398.0,0.98,flat
16.629665,77.018597,404.0,0.57,flat
16.629665,77.023302,402.0,0.28,flat
16.629665,77.028006,402.0,0.82,flat
16.629665,77.032711,400.0,0.63,flat
16.629665,77.037415,404.0,0.36,flat
16.629665,77.04212,403.0,0.67,flat
16.629665,77.046824,401.0,1.02,flat
16.629665,77.051529,401.0,0.4,flat
16.629665,77.056233,401.0,0.54,flat
16.629665,77.060938,406.0,1.68,flat
16.629665,77.065642,396.0,1.7,flat
16.629665,77.070346,391.0,0.81,flat
16.629665,77.075051,389.0,0.45,flat
16.629665,77.079755,387.0,0.81,flat
16.629665,77.08446,388.0,1.57,flat
16.629665,77.089164,394.0,0.7,flat
16.629665,77.093869,395.0,0.4,flat
16.629665,77.098573,390.0,1.08,flat
16.629665,77.103278,386.0,1.17,flat
16.629665,77.107982,380.0,1.36,flat
16.629665,77.112687,375.0,1.41,flat
16.629665,77.117391,366.0,0.36,flat
16.629665,77.122096,372.0,0.72,flat
16.629665,77.1268,372.0,0.2,flat
16.629665,77.131504,370.0,1.02,flat
16.629665,77.136209,370.0,1.2,flat
16.629665,77.140913,370.0,0.36,flat
16.629665,77.145618,373.0,0.89,flat
16.629665,77.150322,366.0,0.81,flat
16.629665,77.155027,366.0,0.45,flat
16.629665,77.159731,362.0,0.63,flat
16.629665,77.164436,360.0,0.67,flat
16.629665,77.16914,359.0,2.06,flat
16.629665,77.173845,347.0,2.41,flat
16.629665,77.178549,357.0,1.52,flat
16.629665,77.183254,361.0,0.94,flat
16.629665,77.187958,362.0,0.2,flat
16.629665,77.192662,361.0,0.45,flat
16.629665,77.197367,364.0,0.78,flat
16.629665,77.202071,366.0,0.54,flat
16.629665,77.206776,369.0,0.85,flat
16.629665,77.21148,372.0,1.04,flat
16.629665,77.216185,372.0,1.4,flat
16.629665,77.220889,372.0,0.28,flat
16.629665,77.225594,374.0,0.45,flat
16.629665,77.230298,374.0,0.85,flat
16.629665,77.235003,380.0,1.28,flat
16.629665,77.239707,384.0,1.02,flat
16.629665,77.244411,382.0,1.75,flat
16.629665,77.249116,391.0,0.5,flat
16.629665,77.25382,387.0,1.3,flat
16.629665,77.258525,386.0,0.28,flat
16.629665,77.263229,385.0,0.45,flat
16.629665,77.267934,388.0,0.6,flat
16.634169,76.985666,394.0,0.7,flat
16.634169,76.990371,394.0,1.5,flat
16.634169,76.995075,393.0,0.95,flat
16.634169,76.99978,397.0,1.75,flat
16.634169,77.004484,410.0,1.63,flat
16.634169,77.009189,409.0,1.64,flat
16.634169,77.013893,400.0,0.95,flat
16.634169,77.018597,406.0,0.5,flat
16.634169,77.023302,403.0,0.2,flat
16.634169,77.028006,406.0,0.8,flat
16.634169,77.032711,403.0,0.81,flat
16.634169,77.037415,405.0,0.58,flat
16.634169,77.04212,406.0,0.32,flat
16.634169,77.046824,406.0,0.3,flat
16.634169,77.051529,403.0,0.45,flat
16.634169,77.056233,402.0,0.64,flat
16.634169,77.060938,398.0,1.72,flat
16.634169,77.065642,392.0,1.2,flat
16.634169,77.070346,389.0,0.36,flat
16.634169,77.075051,390.0,0.36,flat
16.634169,77.079755,391.0,0.78,flat
16.634169,77.08446,395.0,0.42,flat
16.634169,77.089164,394.0,0.2,flat
16.634169,77.093869,395.0,0.71,flat
16.634169,77.098573,387.0,1.24,flat
16.634169,77.103278,383.0,1.14,flat
16.634169,77.107982,376.0,0.91,flat
16.634169,77.112687,374.0,0.95,flat
16.634169,77.117391,367.0,0.57,flat
16.634169,77.122096,370.0,1.03,flat
16.634169,77.1268,372.0,0.94,flat
16.634169,77.131504,365.0,1.0,flat
16.634169,77.136209,364.0,0.85,flat
16.634169,77.140913,371.0,1.21,flat
16.634169,77.145618,369.0,1.57,flat
16.634169,77.150322,364.0,0.57,flat
16.634169,77.155027,365.0,0.22,flat
16.634169,77.159731,363.0,0.2,flat
16.634169,77.164436,363.0,1.2,flat
16.634169,77.16914,351.0,0.5,flat
16.634169,77.173845,359.0,1.63,flat
16.634169,77.178549,354.0,0.28,flat
16.634169,77.183254,357.0,0.92,flat
16.634169,77.187958,363.0,0.67,flat
16.634169,77.192662,363.0,0.2,flat
16.634169,77.197367,361.0,0.45,flat
16.634169,77.202071,367.0,1.1,flat
16.634169,77.206776,372.0,1.04,flat
16.634169,77.21148,377.0,0.81,flat
16.634169,77.216185,379.0,0.64,flat
16.634169,77.220889,373.0,0.76,flat
16.634169,77.225594,372.0,0.45,flat
16.634169,77.230298,377.0,1.24,flat
16.634169,77.235003,384.0,1.26,flat
16.634169,77.239707,389.0,0.72,flat
16.634169,77.244411,390.0,0.54,flat
16.634169,77.249116,391.0,0.58,flat
16.634169,77.25382,393.0,0.61,flat
16.634169,77.258525,385.0,0.85,flat
16.634169,77.263229,387.0,0.5,flat
16.634169,77.267934,388.0,0.22,flat
16.638674,76.985666,398.0,1.06,flat
16.638674,76.990371,402.0,0.8,flat
16.638674,76.995075,398.0,1.12,flat
16.638674,76.99978,397.0,1.22,flat
16.638674,77.004484,405.0,1.14,flat
16.638674,77.009189,408.0,0.36,flat
16.638674,77.013893,407.0,1.0,flat
16.638674,77.018597,408.0,0.36,flat
16.638674,77.023302,404.0,0.45,flat
16.638674,77.028006,410.0,0.57,flat
16.638674,77.032711,408.0,0.81,flat
16.638674,77.037415,409.0,0.63,flat
16.638674,77.04212,406.0,0.82,flat
16.638674,77.046824,401.0,0.76,flat
16.638674,77.051529,399.0,0.64,flat
16.638674,77.056233,397.0,0.86,flat
16.638674,77.060938,392.0,0.95,flat
16.638674,77.065642,388.0,0.54,flat
16.638674,77.070346,394.0,0.57,flat
16.638674,77.075051,392.0,0.51,flat
16.638674,77.079755,393.0,0.14,flat
16.638674,77.08446,391.0,1.04,flat
16.638674,77.089164,396.0,0.54,flat
16.638674,77.093869,396.0,1.33,flat
16.638674,77.098573,393.0,1.36,flat
16.638674,77.103278,383.0,1.57,flat
16.638674,77.107982,379.0,1.14,flat
16.638674,77.112687,372.0,0.92,flat
16.638674,77.117391,370.0,0.98,flat
16.638674,77.122096,363.0,1.08,flat
16.638674,77.1268,364.0,1.1,flat
16.638674,77.131504,364.0,0.7,flat
16.638674,77.136209,364.0,1.96,flat
16.638674,77.140913,359.0,1.21,flat
16.638674,77.145618,359.0,1.14,flat
16.638674,77.150322,362.0,1.03,flat
16.638674,77.155027,368.0,0.5,flat
16.638674,77.159731,362.0,1.03,flat
16.638674,77.164436,359.0,1.3,flat
16.638674,77.16914,362.0,1.26,flat
16.638674,77.173845,363.0,0.67,flat
16.638674,77.178549,359.0,0.6,flat
16.638674,77.183254,363.0,0.5,flat
